time,温度,湿度,A,B,C,label
2025-01-01 00:16:40,36.14,42.26,129.86,34.16,102.96,1
2025-01-01 00:16:41,36.34,42.26,129.76,34.18,102.9,1
2025-01-01 00:16:42,36.11,42.35,130.0,34.13,102.59,1
2025-01-01 00:16:43,36.25,42.38,129.84,34.2,102.68,1
2025-01-01 00:16:44,36.08,42.26,129.88,33.82,102.52,1
2025-01-01 00:16:45,36.04,42.29,129.83,34.07,102.27,1
2025-01-01 00:16:46,36.09,42.48,130.27,33.97,102.6,1
2025-01-01 00:16:47,36.23,42.17,130.24,34.17,102.76,1
2025-01-01 00:16:48,36.77,42.31,129.87,34.22,102.5,1
2025-01-01 00:16:49,36.09,42.56,130.11,34.45,102.98,1
2025-01-01 00:16:50,35.98,42.35,130.14,34.0,102.34,1
2025-01-01 00:16:51,36.28,42.6,130.08,33.96,102.78,1
2025-01-01 00:16:52,36.27,42.64,130.11,34.11,102.63,1
2025-01-01 00:16:53,36.48,42.93,130.24,33.99,102.63,1
2025-01-01 00:16:54,36.54,42.75,130.71,34.02,102.13,1
2025-01-01 00:16:55,36.07,42.91,130.65,34.19,102.19,1
2025-01-01 00:16:56,36.9,42.82,130.94,34.29,102.22,1
2025-01-01 00:16:57,36.71,43.07,130.72,34.58,102.79,1
2025-01-01 00:16:58,36.3,43.04,130.71,34.2,102.07,1
2025-01-01 00:16:59,36.78,42.62,130.95,34.25,102.58,1
2025-01-01 00:50:00,37.68,33.85,129.32,37.11,101.16,1
2025-01-01 00:50:01,37.91,33.68,129.22,36.9,101.13,1
2025-01-01 00:50:02,37.85,33.65,129.25,36.91,100.81,1
2025-01-01 00:50:03,37.73,33.85,129.31,36.48,101.15,1
2025-01-01 00:50:04,37.67,33.98,129.26,36.89,101.04,1
2025-01-01 00:50:05,37.84,33.98,129.14,36.9,101.38,1
2025-01-01 00:50:06,37.71,33.84,129.13,36.63,100.88,1
2025-01-01 00:50:07,37.65,33.95,129.67,36.59,100.99,1
2025-01-01 00:50:08,37.94,33.7,129.81,37.12,101.06,1
2025-01-01 00:50:09,37.77,33.68,129.4,37.17,101.27,1
2025-01-01 00:50:10,37.91,33.72,129.43,37.09,101.16,1
2025-01-01 00:50:11,38.22,33.39,129.55,36.68,101.1,1
2025-01-01 00:50:12,37.48,33.86,129.97,36.96,100.95,1
2025-01-01 00:50:13,37.53,33.46,129.94,36.84,101.54,1
2025-01-01 00:50:14,38.14,33.57,129.79,36.89,101.49,1
2025-01-01 00:50:15,37.72,33.74,129.95,37.14,101.02,1
2025-01-01 00:50:16,37.79,33.52,129.88,37.25,101.04,1
2025-01-01 00:50:17,37.74,33.77,130.3,37.32,100.83,1
2025-01-01 00:50:18,37.91,33.5,130.02,37.06,101.16,1
2025-01-01 00:50:19,37.9,34.14,130.26,37.07,101.4,1
2025-01-01 01:23:20,37.86,47.71,128.04,34.83,103.9,1
2025-01-01 01:23:21,37.42,48.26,128.45,35.09,103.54,1
2025-01-01 01:23:22,38.1,47.84,128.74,34.81,104.12,1
2025-01-01 01:23:23,37.89,47.86,128.42,34.67,103.77,1
2025-01-01 01:23:24,37.7,47.81,128.31,34.8,104.11,1
2025-01-01 01:23:25,37.84,48.09,128.62,34.48,104.21,1
2025-01-01 01:23:26,37.19,47.94,128.88,34.85,104.08,1
2025-01-01 01:23:27,37.32,47.44,128.92,34.54,104.63,1
2025-01-01 01:23:28,37.48,48.03,129.18,34.62,103.94,1
2025-01-01 01:23:29,38.31,48.29,128.87,34.71,104.47,1
