time,温度,湿度,A,B,C,label
2025-01-01 02:30:10,33.8,43.75,127.49,36.57,108.32,1
2025-01-01 01:23:55,27.59,67.98,100.56,48.75,80.37,0
2025-01-01 00:50:15,37.71,33.7,129.94,37.23,100.9,1
2025-01-01 02:30:18,33.92,43.89,128.22,36.68,108.37,1
2025-01-01 00:50:18,37.75,33.61,130.0,36.92,101.13,1
2025-01-01 00:50:05,37.8,33.97,129.03,36.92,101.45,1
2025-01-01 01:56:50,36.09,33.08,128.38,33.75,108.73,1
2025-01-01 02:28:43,25.65,66.41,94.97,49.14,83.84,0
2025-01-01 00:51:21,28.0,52.28,103.59,50.97,77.54,0
2025-01-01 01:33:27,23.96,52.36,104.05,51.28,78.07,0
2025-01-01 00:23:45,24.73,65.28,95.63,50.34,83.98,0
2025-01-01 00:16:45,36.25,42.27,129.92,33.86,102.32,1
2025-01-01 00:16:59,36.87,42.5,131.03,34.21,102.45,1
2025-01-01 01:56:57,36.3,33.16,129.06,33.7,108.44,1
2025-01-01 02:30:03,33.84,44.24,127.6,36.23,108.19,1
2025-01-01 01:23:37,37.55,48.05,129.5,34.22,104.83,1
2025-01-01 00:50:11,38.27,33.41,129.61,36.67,101.22,1
2025-01-01 01:35:25,26.39,52.73,103.24,50.74,82.6,0
2025-01-01 02:30:01,33.89,44.03,127.18,36.61,108.64,1
2025-01-01 00:16:42,36.0,42.45,129.99,34.24,102.71,1
2025-01-01 01:21:36,27.73,66.26,95.13,52.02,76.25,0
2025-01-01 01:56:46,36.51,33.02,128.26,33.19,108.26,1
2025-01-01 02:30:17,34.26,43.34,128.25,36.78,108.37,1
2025-01-01 00:50:10,37.93,33.58,129.46,37.01,101.1,1
2025-01-01 00:16:54,36.56,42.68,130.65,33.96,102.14,1
2025-01-01 01:59:15,23.46,57.47,105.07,52.08,82.72,0
2025-01-01 02:30:05,34.25,43.95,127.48,36.41,108.19,1
2025-01-01 01:56:56,36.45,33.07,128.95,33.34,108.37,1
2025-01-01 02:30:02,33.59,43.64,127.2,36.68,108.42,1
2025-01-01 00:50:04,37.55,34.0,129.33,36.74,101.12,1
2025-01-01 02:19:37,22.95,55.95,95.73,50.54,83.37,0
2025-01-01 02:30:04,33.77,44.61,127.35,36.9,108.38,1
2025-01-01 02:30:14,33.96,43.86,128.0,36.64,108.02,1
2025-01-01 01:56:45,35.92,32.75,128.02,32.9,108.12,1
2025-01-01 01:56:43,36.61,32.98,128.08,32.99,108.24,1
2025-01-01 01:23:22,38.11,47.8,128.6,34.77,104.11,1
2025-01-01 01:23:26,37.22,48.01,128.81,34.98,104.21,1
2025-01-01 00:50:03,37.69,33.96,129.37,36.42,101.11,1
2025-01-01 01:56:51,35.84,33.15,128.22,33.55,107.96,1
2025-01-01 01:23:38,37.85,48.02,129.55,34.47,104.6,1
2025-01-01 00:50:01,37.79,33.78,129.29,36.89,101.37,1
2025-01-01 00:16:43,36.13,42.23,129.98,34.31,102.64,1
2025-01-01 01:23:35,37.86,48.14,129.24,34.25,104.6,1
2025-01-01 00:50:40,27.87,53.09,101.62,51.65,76.79,0
2025-01-01 01:23:30,37.93,47.54,128.91,34.78,104.5,1
2025-01-01 01:23:25,37.86,47.92,128.6,34.27,104.21,1
2025-01-01 02:30:08,34.3,43.84,127.57,36.45,108.54,1
2025-01-01 01:56:47,36.21,32.7,128.29,33.07,108.23,1
2025-01-01 00:48:44,26.94,56.28,95.36,50.08,76.67,0
2025-01-01 01:56:48,36.34,32.43,128.44,33.04,107.99,1
2025-01-01 01:23:28,37.42,48.0,129.24,34.6,103.78,1
2025-01-01 02:30:16,33.98,43.71,128.11,36.7,108.19,1
2025-01-01 01:48:50,23.56,62.65,99.7,49.17,82.62,0
2025-01-01 01:23:27,37.23,47.35,128.87,34.64,104.58,1
2025-01-01 01:56:55,35.67,32.56,128.91,33.67,108.57,1
2025-01-01 00:50:14,38.0,33.48,129.72,36.7,101.5,1
2025-01-01 00:16:52,36.23,42.62,129.88,34.28,102.64,1
2025-01-01 00:50:12,37.63,33.71,129.89,36.97,100.96,1
2025-01-01 02:30:06,33.84,43.97,127.49,36.57,108.36,1
2025-01-01 02:30:15,33.73,43.54,127.87,36.62,108.13,1
2025-01-01 00:16:53,36.51,42.93,130.3,33.93,102.63,1
2025-01-01 01:23:36,37.8,48.18,129.08,34.39,104.82,1
2025-01-01 01:44:34,22.76,68.21,100.42,48.73,79.64,0
2025-01-01 00:16:46,36.09,42.18,130.11,34.08,102.54,1
2025-01-01 00:16:50,36.12,42.41,130.31,34.04,102.38,1
2025-01-01 01:23:32,37.7,47.71,129.35,34.32,104.16,1
2025-01-01 02:30:07,34.01,43.96,127.92,36.62,108.47,1
2025-01-01 01:23:33,37.57,47.9,129.37,34.08,104.61,1
2025-01-01 01:33:36,24.07,52.05,104.45,51.51,78.34,0
2025-01-01 01:56:54,35.97,33.12,128.71,33.21,107.94,1
2025-01-01 00:16:41,36.26,42.42,129.71,34.28,103.0,1
2025-01-01 01:23:31,37.83,47.98,128.91,34.2,104.48,1
2025-01-01 00:16:58,36.37,43.0,130.84,34.01,102.16,1
2025-01-01 00:17:53,27.37,64.88,103.69,51.15,76.23,0
2025-01-01 00:38:29,25.96,64.27,97.25,51.36,76.36,0
2025-01-01 01:56:41,36.2,32.71,128.16,33.1,108.67,1
2025-01-01 02:30:11,33.89,43.85,127.65,36.44,108.57,1
2025-01-01 01:56:59,35.69,32.85,128.87,33.58,109.06,1
2025-01-01 02:30:12,33.74,43.97,127.95,37.0,108.2,1
2025-01-01 01:56:49,36.49,32.87,128.46,33.25,108.39,1
2025-01-01 00:39:39,24.72,66.13,95.22,49.17,76.02,0
2025-01-01 01:23:39,37.65,47.86,129.42,34.24,104.55,1
2025-01-01 00:50:19,37.92,34.01,130.17,37.23,101.45,1
2025-01-01 00:50:02,37.86,33.68,129.37,36.96,100.71,1
2025-01-01 01:21:01,27.41,65.27,95.67,51.59,75.92,0
2025-01-01 00:16:47,36.37,42.3,130.27,33.93,102.83,1
2025-01-01 00:50:07,37.59,33.99,129.71,36.45,101.09,1
2025-01-01 01:23:21,37.44,48.31,128.4,35.12,103.67,1
2025-01-01 00:50:00,37.72,33.86,129.43,37.16,101.04,1
2025-01-01 00:50:17,37.95,33.74,130.18,37.29,100.84,1
2025-01-01 00:16:57,36.68,43.15,130.68,34.58,102.87,1
2025-01-01 00:50:06,37.74,33.82,129.16,36.45,100.93,1
2025-01-01 02:30:19,33.88,44.0,128.32,36.6,107.98,1
2025-01-01 01:23:23,37.85,47.9,128.52,34.72,103.95,1
2025-01-01 01:23:24,37.66,47.67,128.24,34.71,103.94,1
2025-01-01 01:56:40,36.18,32.76,127.87,33.22,108.5,1
