time,温度,湿度,A,B,C,label
2025-01-01 00:00:00,25.02,67.99,100.03,52.08,79.99,0
2025-01-01 00:00:01,25.01,68.08,100.1,51.98,80.07,0
2025-01-01 00:00:02,25.02,67.98,100.14,51.9,79.99,0
2025-01-01 00:00:03,25.03,67.95,100.2,51.95,80.05,0
2025-01-01 00:00:04,25.15,67.99,100.25,51.92,80.13,0
2025-01-01 00:00:05,25.11,67.94,100.33,51.96,80.19,0
2025-01-01 00:00:06,25.09,68.09,100.37,51.94,80.28,0
2025-01-01 00:00:07,25.08,68.01,100.34,51.92,80.29,0
2025-01-01 00:00:08,25.2,68.0,100.49,51.97,80.25,0
2025-01-01 00:00:09,25.14,67.97,100.61,51.99,80.27,0
2025-01-01 00:00:10,25.22,67.97,100.59,52.0,80.45,0
2025-01-01 00:00:11,25.27,67.95,100.67,51.98,80.49,0
2025-01-01 00:00:12,25.22,67.98,100.69,51.9,80.52,0
2025-01-01 00:00:13,25.33,67.98,100.86,51.97,80.49,0
2025-01-01 00:00:14,25.3,68.06,100.87,52.02,80.43,0
2025-01-01 00:00:15,25.34,67.98,100.92,51.94,80.5,0
2025-01-01 00:00:16,25.31,67.99,101.07,51.9,80.6,0
2025-01-01 00:00:17,25.31,68.02,101.07,51.89,80.7,0
2025-01-01 00:00:18,25.36,68.02,101.08,51.89,80.7,0
2025-01-01 00:00:19,25.31,67.98,101.19,51.9,80.74,0
2025-01-01 00:00:20,25.33,67.94,101.22,51.85,80.79,0
2025-01-01 00:00:21,25.44,68.05,101.31,51.89,80.83,0
2025-01-01 00:00:22,25.34,67.95,101.36,51.99,80.86,0
2025-01-01 00:00:23,25.47,67.95,101.36,51.91,80.95,0
2025-01-01 00:00:24,25.52,67.9,101.55,51.77,80.98,0
2025-01-01 00:00:25,25.61,67.89,101.51,51.83,80.96,0
2025-01-01 00:00:26,25.44,67.94,101.54,51.84,80.98,0
2025-01-01 00:00:27,25.61,67.89,101.64,51.84,81.01,0
2025-01-01 00:00:28,25.57,67.99,101.63,51.8,81.12,0
2025-01-01 00:00:29,25.62,67.85,101.71,51.8,81.16,0
2025-01-01 00:00:30,25.61,67.93,101.8,51.77,81.2,0
2025-01-01 00:00:31,25.58,68.0,101.91,51.68,81.25,0
2025-01-01 00:00:32,25.59,67.94,102.01,51.68,81.31,0
2025-01-01 00:00:33,25.68,67.93,102.1,51.69,81.26,0
2025-01-01 00:00:34,25.63,67.84,102.06,51.7,81.35,0
2025-01-01 00:00:35,25.74,67.88,102.19,51.66,81.51,0
2025-01-01 00:00:36,25.74,67.83,102.12,51.67,81.4,0
2025-01-01 00:00:37,25.77,67.89,102.23,51.59,81.37,0
2025-01-01 00:00:38,25.73,67.9,102.3,51.55,81.49,0
2025-01-01 00:00:39,25.79,67.8,102.35,51.6,81.46,0
2025-01-01 00:00:40,25.81,67.87,102.45,51.62,81.49,0
2025-01-01 00:00:41,25.76,67.86,102.48,51.58,81.79,0
2025-01-01 00:00:42,25.86,67.88,102.55,51.56,81.62,0
2025-01-01 00:00:43,25.89,67.78,102.55,51.48,81.67,0
2025-01-01 00:00:44,25.98,67.71,102.65,51.41,81.68,0
2025-01-01 00:00:45,25.94,67.8,102.61,51.43,81.77,0
2025-01-01 00:00:46,25.87,67.8,102.72,51.41,81.88,0
2025-01-01 00:00:47,25.96,67.68,102.78,51.38,81.85,0
2025-01-01 00:00:48,25.9,67.76,102.85,51.44,81.79,0
2025-01-01 00:00:49,25.95,67.74,102.84,51.46,81.9,0
2025-01-01 00:00:50,25.92,67.8,103.03,51.4,81.84,0
2025-01-01 00:00:51,25.98,67.8,102.94,51.34,81.99,0
2025-01-01 00:00:52,25.97,67.73,102.86,51.24,81.97,0
2025-01-01 00:00:53,25.98,67.8,103.0,51.25,82.03,0
2025-01-01 00:00:54,26.13,67.64,103.18,51.24,82.01,0
2025-01-01 00:00:55,26.1,67.71,103.14,51.22,82.07,0
2025-01-01 00:00:56,26.1,67.72,103.3,51.13,82.23,0
2025-01-01 00:00:57,26.02,67.67,103.3,51.18,82.13,0
2025-01-01 00:00:58,26.12,67.64,103.29,51.18,82.21,0
2025-01-01 00:00:59,26.12,67.7,103.38,51.15,82.26,0
2025-01-01 00:01:00,26.13,67.61,103.45,51.11,82.26,0
2025-01-01 00:01:01,26.19,67.69,103.42,51.08,82.28,0
2025-01-01 00:01:02,26.19,67.67,103.54,51.06,82.39,0
2025-01-01 00:01:03,26.22,67.64,103.53,51.01,82.35,0
2025-01-01 00:01:04,26.25,67.62,103.55,51.07,82.34,0
2025-01-01 00:01:05,26.2,67.64,103.67,50.97,82.45,0
2025-01-01 00:01:06,26.28,67.52,103.68,50.87,82.5,0
2025-01-01 00:01:07,26.29,67.51,103.7,50.9,82.46,0
2025-01-01 00:01:08,26.27,67.55,103.77,50.82,82.49,0
2025-01-01 00:01:09,26.34,67.46,103.73,50.78,82.54,0
2025-01-01 00:01:10,26.37,67.59,103.88,50.78,82.58,0
2025-01-01 00:01:11,26.32,67.5,103.86,50.77,82.57,0
2025-01-01 00:01:12,26.41,67.56,103.91,50.74,82.67,0
2025-01-01 00:01:13,26.38,67.48,103.96,50.7,82.63,0
2025-01-01 00:01:14,26.42,67.48,104.07,50.71,82.8,0
2025-01-01 00:01:15,26.4,67.49,104.04,50.74,82.69,0
2025-01-01 00:01:16,26.41,67.4,103.96,50.57,82.72,0
2025-01-01 00:01:17,26.48,67.43,104.2,50.61,82.76,0
2025-01-01 00:01:18,26.45,67.42,104.07,50.63,82.87,0
2025-01-01 00:01:19,26.48,67.3,104.24,50.5,82.9,0
2025-01-01 00:01:20,26.45,67.34,104.21,50.47,82.85,0
2025-01-01 00:01:21,26.57,67.3,104.23,50.44,82.92,0
2025-01-01 00:01:22,26.6,67.28,104.2,50.47,82.94,0
2025-01-01 00:01:23,26.54,67.4,104.31,50.43,82.96,0
2025-01-01 00:01:24,26.7,67.39,104.32,50.39,83.01,0
2025-01-01 00:01:25,26.68,67.24,104.4,50.36,82.92,0
2025-01-01 00:01:26,26.57,67.17,104.38,50.31,83.11,0
2025-01-01 00:01:27,26.65,67.34,104.36,50.16,83.05,0
2025-01-01 00:01:28,26.68,67.24,104.35,50.2,83.02,0
2025-01-01 00:01:29,26.71,67.24,104.44,50.15,83.06,0
2025-01-01 00:01:30,26.69,67.25,104.46,50.17,83.11,0
2025-01-01 00:01:31,26.67,67.18,104.49,50.08,83.1,0
2025-01-01 00:01:32,26.83,67.17,104.53,50.09,83.18,0
2025-01-01 00:01:33,26.73,67.18,104.63,50.02,83.18,0
2025-01-01 00:01:34,26.75,67.02,104.54,50.08,83.31,0
2025-01-01 00:01:35,26.76,67.14,104.65,50.13,83.31,0
2025-01-01 00:01:36,26.79,67.05,104.58,49.95,83.24,0
2025-01-01 00:01:37,26.74,67.05,104.63,49.99,83.34,0
2025-01-01 00:01:38,26.82,67.13,104.71,49.83,83.4,0
2025-01-01 00:01:39,26.87,66.99,104.72,49.8,83.27,0
2025-01-01 00:01:40,26.9,67.12,104.67,49.84,83.33,0
2025-01-01 00:01:41,26.85,66.97,104.72,49.78,83.35,0
