time,温度,湿度,A,B,C,是否故障
2025-04-01 00:00:00,22.309,72.995,99.343,81.655,74.669,0
2025-04-01 00:00:01,22.54,74.77,99.855,81.364,75.539,0
2025-04-01 00:00:02,22.44,73.513,99.213,81.692,76.556,0
2025-04-01 00:00:03,21.852,74.975,99.549,81.144,76.352,0
2025-04-01 00:00:04,21.773,74.749,99.446,81.073,74.34,0
2025-04-01 00:00:05,22.259,74.419,99.482,81.053,77.232,0
2025-04-01 00:00:06,22.544,74.742,100.006,80.607,76.936,0
2025-04-01 00:00:07,22.486,73.5,99.131,80.488,79.334,0
2025-04-01 00:00:08,22.923,74.69,99.515,80.906,78.836,0
2025-04-01 00:00:09,22.651,73.616,98.37,81.351,78.997,0
2025-04-01 00:00:10,22.663,72.905,98.134,81.789,79.597,0
2025-04-01 00:00:11,22.298,73.7,99.557,80.748,79.617,0
2025-04-01 00:00:12,22.229,74.392,100.445,81.26,79.373,0
2025-04-01 00:00:13,23.051,74.115,100.292,81.035,80.519,0
2025-04-01 00:00:14,22.665,74.996,100.292,81.071,80.281,0
2025-04-01 00:00:15,22.936,75.243,100.79,80.413,79.87,0
2025-04-01 00:00:16,22.323,73.781,100.876,80.09,79.288,0
2025-04-01 00:00:17,22.646,73.142,100.928,81.225,80.718,0
2025-04-01 00:00:18,22.431,72.818,101.093,80.639,79.742,0
2025-04-01 00:00:19,22.626,74.456,101.532,80.385,82.908,0
2025-04-01 00:00:20,23.169,73.126,100.752,80.431,82.239,0
2025-04-01 00:00:21,22.492,72.775,100.631,81.271,81.514,0
2025-04-01 00:00:22,22.814,72.635,100.696,80.04,82.505,0
2025-04-01 00:00:23,23.06,73.507,100.195,80.563,81.959,0
2025-04-01 00:00:24,22.845,72.49,100.748,80.56,84.327,0
2025-04-01 00:00:25,23.005,72.098,100.52,80.119,83.446,0
2025-04-01 00:00:26,23.048,72.673,100.092,79.209,85.66,0
2025-04-01 00:00:27,23.272,71.207,99.599,79.104,83.935,0
2025-04-01 00:00:28,23.049,73.437,99.631,78.734,83.566,0
2025-04-01 00:00:29,23.29,73.133,99.557,79.738,82.981,0
2025-04-01 00:00:30,23.255,74.321,99.794,78.997,83.76,0
2025-04-01 00:00:31,23.393,73.443,99.835,80.229,82.727,0
2025-04-01 00:00:32,23.36,72.963,99.663,79.945,84.493,0
2025-04-01 00:00:33,23.815,73.212,99.966,80.976,82.761,0
2025-04-01 00:00:34,23.143,72.271,100.586,78.275,84.759,0
2025-04-01 00:00:35,23.724,70.881,101.217,77.997,84.239,0
2025-04-01 00:00:36,23.265,71.23,100.013,78.581,85.632,0
2025-04-01 00:00:37,23.119,72.655,99.481,79.145,83.389,0
2025-04-01 00:00:38,23.788,72.315,100.841,78.514,84.163,0
2025-04-01 00:00:39,23.311,72.857,101.368,78.671,86.294,0
2025-04-01 00:00:40,23.342,72.23,101.002,79.15,86.402,0
2025-04-01 00:00:41,23.057,72.904,100.787,78.074,85.974,0
2025-04-01 00:00:42,22.857,70.774,101.104,78.176,84.51,0
2025-04-01 00:00:43,23.689,73.299,100.283,78.178,84.118,0
2025-04-01 00:00:44,23.159,71.676,100.393,78.406,86.547,0
2025-04-01 00:00:45,23.751,71.805,99.755,77.784,85.297,0
2025-04-01 00:00:46,24.079,72.736,99.833,77.917,85.377,0
2025-04-01 00:00:47,23.497,70.915,99.348,78.398,85.783,0
2025-04-01 00:00:48,23.197,70.404,99.422,77.539,83.244,0
2025-04-01 00:00:49,23.657,70.528,98.567,76.365,84.276,0
2025-04-01 00:00:50,23.769,71.759,99.545,77.563,84.71,0
2025-04-01 00:00:51,23.462,70.543,100.292,77.482,83.819,0
2025-04-01 00:00:52,23.544,72.917,99.422,77.97,84.614,0
2025-04-01 00:00:53,23.936,73.387,98.503,77.56,84.516,0
2025-04-01 00:00:54,23.911,69.985,98.399,77.015,85.304,0
2025-04-01 00:00:55,23.739,70.862,98.752,76.811,84.12,0
2025-04-01 00:00:56,23.258,70.767,99.333,77.65,83.425,0
2025-04-01 00:00:57,23.493,70.288,98.492,76.788,84.5,0
2025-04-01 00:00:58,23.68,70.816,98.413,76.394,82.724,0
2025-04-01 00:00:59,23.424,70.218,97.77,76.573,83.366,0
2025-04-01 00:01:00,23.292,68.803,98.419,75.77,82.783,0
2025-04-01 00:01:01,23.231,71.944,98.542,76.66,82.977,0
2025-04-01 00:01:02,23.255,68.056,97.941,76.07,83.726,0
2025-04-01 00:01:03,23.226,70.325,98.039,76.722,83.49,0
2025-04-01 00:01:04,23.273,69.332,97.251,76.566,82.499,0
2025-04-01 00:01:05,23.732,70.332,97.867,75.567,83.883,0
2025-04-01 00:01:06,23.127,68.728,98.28,77.148,82.301,0
2025-04-01 00:01:07,23.611,69.675,98.617,75.926,81.48,0
2025-04-01 00:01:08,23.446,68.248,98.433,75.827,80.973,0
2025-04-01 00:01:09,23.338,69.123,99.334,76.78,80.713,0
2025-04-01 00:01:10,23.021,69.242,98.925,77.051,80.721,0
2025-04-01 00:01:11,23.105,69.422,99.22,77.008,81.219,0
2025-04-01 00:01:12,23.805,68.441,98.317,75.651,79.378,0
2025-04-01 00:01:13,23.213,68.628,98.97,76.174,81.414,0
2025-04-01 00:01:14,23.314,68.554,98.036,76.533,79.92,0
2025-04-01 00:01:15,23.32,68.507,98.385,75.855,80.299,0
2025-04-01 00:01:16,23.404,68.471,98.001,75.889,79.257,0
2025-04-01 00:01:17,22.982,69.033,97.14,76.553,79.075,0
