time,温度,湿度,A,B,C,health
2025-01-01 00:00:00,25.152,65.176,98.342,53.191,78.92,0.576407
2025-01-01 00:00:01,24.497,65.899,100.98,53.962,78.545,0.607195
2025-01-01 00:00:02,25.409,63.527,100.12,52.921,80.508,0.587125
2025-01-01 00:00:03,25.52,64.714,99.667,53.424,80.348,0.584928
2025-01-01 00:00:04,24.091,65.827,100.105,53.798,77.549,0.602103
2025-01-01 00:00:05,24.432,65.063,101.481,53.652,78.71,0.609856
2025-01-01 00:00:06,25.164,66.463,101.264,54.567,80.633,0.611296
2025-01-01 00:00:07,24.958,63.419,100.494,53.39,80.295,0.593839
2025-01-01 00:00:08,25.125,63.303,99.571,51.998,79.955,0.589768
2025-01-01 00:00:09,24.723,65.761,99.73,52.618,81.217,0.622767
2025-01-01 00:00:10,25.606,65.855,101.64,53.945,78.813,0.590111
2025-01-01 00:00:11,25.572,64.793,99.698,53.481,79.885,0.580445
2025-01-01 00:00:12,25.233,65.384,100.945,52.952,81.275,0.616346
2025-01-01 00:00:13,25.78,65.726,103.833,55.498,79.928,0.599659
2025-01-01 00:00:14,25.467,64.164,101.699,54.583,81.137,0.595422
2025-01-01 00:00:15,24.82,64.268,102.069,53.862,79.44,0.604542
2025-01-01 00:00:16,25.45,65.161,100.354,54.083,79.881,0.586357
2025-01-01 00:00:17,24.803,65.872,100.275,53.671,78.785,0.599136
2025-01-01 00:00:18,25.738,63.798,102.385,52.865,78.509,0.583312
2025-01-01 00:00:19,25.29,64.762,101.394,54.678,80.46,0.595146
2025-01-01 00:00:20,25.239,64.711,102.937,54.519,81.625,0.617788
2025-01-01 00:00:21,25.008,65.369,101.993,52.239,81.001,0.631539
2025-01-01 00:00:22,25.976,64.938,105.493,53.985,82.584,0.633794
2025-01-01 00:00:23,25.304,64.395,101.55,54.055,80.774,0.600393
2025-01-01 00:00:24,25.183,66.185,102.497,53.51,78.755,0.610707
2025-01-01 00:00:25,25.238,64.391,101.4,55.425,81.765,0.598728
2025-01-01 00:00:26,25.696,64.633,103.411,55.318,80.111,0.59317
2025-01-01 00:00:27,25.629,63.328,102.905,53.404,81.609,0.607189
2025-01-01 00:00:28,25.669,64.2,101.588,53.506,78.768,0.579122
2025-01-01 00:00:29,25.694,65.423,102.316,53.389,81.233,0.613497
2025-01-01 00:00:30,26.566,65.221,104.089,53.149,82.459,0.617988
2025-01-01 00:00:31,25.308,65.493,104.053,52.878,82.365,0.64709
2025-01-01 00:00:32,25.271,65.438,101.47,53.995,81.42,0.613534
